rank,title,year
1,Harry Potter and the Deathly Hallows - Part 2 ,2011
2,The Artist ,2011
3,A Separation ,2011
4,Moneyball ,2011
5,The Muppets ,2011
6,Poetry ,2011
7,Le Havre ,2011
8,The Interrupters ,2011
9,Project Nim ,2011
10,Nostalgia for the Light ,2011
11,Everyday Sunshine: The Story of Fishbone ,2011
12,We Were Here ,2011
13,Bill Cunningham New York ,2011
14,Mission: Impossible Ghost Protocol ,2011
15,Drive ,2011
16,Source Code ,2011
17,Hugo ,2011
18,Cave of Forgotten Dreams ,2011
19,Midnight in Paris ,2011
20,Win Win ,2011
21,Bridesmaids ,2011
22,50/50 ,2011
23,Born To Be Wild ,2011
24,13 Assassins ,2011
25,Tomboy ,2011
26,Pariah ,2011
27,The Guard ,2011
28,Pina ,2011
29,The Descendants ,2011
30,Weekend ,2011
31,Arthur Christmas ,2011
32,Being Elmo: A Puppeteer's Journey ,2011
33,The Arbor ,2011
34,Silent Souls ,2011
35,Take Shelter ,2011
36,Incendies ,2011
37,Coriolanus ,2011
38,Martha Marcy May Marlene ,2011
39,Senna ,2011
40,Tabloid ,2011
41,Attack the Block ,2011
42,Of Gods and Men ,2011
43,X-Men: First Class ,2011
44,Into The Abyss ,2011
45,King of Devil's Island ,2011
46,Rango ,2011
47,Winnie the Pooh ,2011
48,Elite Squad: The Enemy Within ,2011
49,Knuckle ,2011
50,The Tree of Life ,2011
51,The Girl with the Dragon Tattoo ,2011
52,The Four Times ,2011
53,City of Life and Death ,2011
54,The Black Power Mixtape 1967-1975 ,2011
55,Corman's World: Exploits Of A Hollywood Rebel ,2011
56,Point Blank ,2011
57,Certified Copy ,2011
58,Submarine ,2011
59,Contagion ,2011
60,Margin Call ,2011
61,The Trip ,2011
62,Buck ,2011
63,Uncle Boonmee Who Can Recall His Past Lives ,2011
64,The Ides of March ,2011
65,Beats Rhymes & Life: The Travels of a Tribe Called Quest ,2011
66,Armadillo ,2011
67,Cedar Rapids ,2011
68,Rise of the Planet of the Apes ,2011
69,Super 8 ,2011
70,Tinker Tailor Soldier Spy ,2011
71,Beginners ,2011
72,Meek's Cutoff ,2011
73,Puss in Boots ,2011
74,The Lincoln Lawyer ,2011
75,Bobby Fischer Against The World ,2011
76,Jane Eyre ,2011
77,Warrior ,2011
78,The Hedgehog ,2011
79,A Screaming Man ,2011
80,Terri ,2011
81,Captain America: The First Avenger ,2011
82,My Week with Marilyn ,2011
83,Even the Rain ,2011
84,A Better Life ,2011
85,Circumstance ,2011
86,Carancho ,2011
87,Viva Riva! ,2011
88,Tucker and Dale vs. Evil ,2011
89,La princesse de Montpensier ,2011
90,La t̻te en friche ,2011
91,Kung Fu Panda 2 ,2011
92,Potiche ,2011
93,Mysteries of Lisbon ,2011
94,Thor ,2011
95,Young Adult ,2011
96,"Happy, Happy ",2011
97,Shame ,2011
98,The Way ,2011
99,The Skin I Live In ,2011
100,Tyrannosaur ,2011
