city,district,population,평당 매매가
강원도,강릉시,213106.0,551.1
강원도,정선군,37438.0,465
강원도,화천군,24979.0,561
강원도,홍천군,69646.0,554.4
강원도,평창군,42435.0,465.3
강원도,태백시,44415.0,346.5
강원도,춘천시,280098.0,603.9
강원도,철원군,45840.0,366.3
강원도,인제군,31902.0,386.1
강원도,횡성군,46767.0,372.9
강원도,영월군,39440.0,158.39999999999995
강원도,양양군,27519.0,516
강원도,양구군,23279.0,379.5
강원도,속초시,81497.0,521.4
강원도,삼척시,68053.0,363.0
강원도,동해시,90808.0,396.0
강원도,고성군,27860.0,402.6
강원도,원주시,345712.0,561.0
경기도,양평군,116084.0,772.1999999999997
경기도,여주시,111143.0,580.8
경기도,연천군,44187.0,465.3
경기도,오산시,220081.0,722.6999999999997
경기도,용인시,1042229.0,1125.3
경기도,의왕시,157090.0,1353.0
경기도,파주시,453366.0,795.3
경기도,이천시,214814.0,719.4
경기도,평택시,500787.0,706.1999999999997
경기도,포천시,149603.0,557.6999999999998
경기도,화성시,781507.0,1049.4
경기도,양주시,219789.0,660.0
경기도,의정부시,450332.0,848.0999999999997
경기도,안양시,573296.0,1547.6999999999994
경기도,하남시,262261.0,1877.7
경기도,안산시,657988.0,973.5
경기도,안성시,183665.0,531.3
경기도,가평군,62740.0,537.9
경기도,고양시,1045533.0,1089.0
경기도,과천시,58218.0,3930.3
경기도,광주시,366092.0,861.3
경기도,구리시,201952.0,1448.6999999999994
경기도,군포시,275207.0,1164.9
경기도,광명시,323527.0,1798.5
경기도,남양주시,687575.0,927.3
경기도,동두천시,95375.0,534.6
경기도,부천시,837937.0,1151.7
경기도,성남시,949316.0,2201.1
경기도,수원시,1198461.0,1145.1
경기도,시흥시,459601.0,881.0999999999997
경기도,김포시,429752.0,986.7
경상남도,창원시,1049897.0,772.1999999999997
경상남도,남해군,44163.0,359.7
경상남도,합천군,45679.0,306.9
경상남도,함양군,39922.0,524.6999999999998
경상남도,하동군,47056.0,398
경상남도,통영시,132676.0,561.0
경상남도,창녕군,62860.0,297.0
경상남도,양산시,349925.0,683.0999999999998
경상남도,산청군,35713.0,539
경상남도,사천시,112975.0,524.6999999999998
경상남도,밀양시,106240.0,580.8
경상남도,김해시,536707.0,673.1999999999998
경상남도,거창군,62676.0,485.1
경상남도,거제시,248856.0,594.0
경상남도,함안군,66406.0,359.7
경상남도,진주시,346678.0,676.5
경상북도,영천시,101360.0,415.8
경상북도,포항시,509064.0,564.3
경상북도,칠곡군,118389.0,402.6
경상북도,예천군,54290.0,712.8
경상북도,영주시,106100.0,425.7
경상북도,경산시,261087.0,696.3
경상북도,성주군,44312.0,396.0
경상북도,상주시,100051.0,396.0
경상북도,문경시,71939.0,511.5
경상북도,김천시,141397.0,366.3
경상북도,경주시,256426.0,557.6999999999998
경상북도,안동시,160737.0,471.9
경상북도,구미시,420294.0,521.4
광주광역시,광산구,406384.0,726.0
광주광역시,남구,217949.0,848.0999999999997
광주광역시,동구,95743.0,584.1
광주광역시,북구,436188.0,607.1999999999998
광주광역시,서구,301909.0,759.0
대구광역시,달성군,253800.0,828.3
대구광역시,수성구,431613.0,1329.9
대구광역시,달서구,571682.0,877.8
대구광역시,중구,78504.0,1194.6
대전광역시,대덕구,180249.0,607.1999999999998
대전광역시,유성구,349868.0,904.2
부산광역시,해운대구,408384.0,1204.5
부산광역시,연제구,209712.0,1092.3
부산광역시,영도구,119045.0,640.1999999999998
부산광역시,수영구,175744.0,1277.1
부산광역시,동래구,267567.0,1079.1
부산광역시,사상구,221994.0,699.5999999999997
부산광역시,부산진구,359247.0,887.6999999999997
부산광역시,기장군,165024.0,798.5999999999997
부산광역시,사하구,325166.0,663.3
부산광역시,금정구,241986.0,1069.2
부산광역시,강서구,126333.0,917.4
서울특별시,중랑구,401546.0,1452.0
서울특별시,종로구,152495.0,2461.8
서울특별시,은평구,484267.0,1745.6999999999994
서울특별시,용산구,228940.0,3468.3
서울특별시,영등포구,368874.0,2481.6
서울특별시,양천구,462126.0,2659.8
서울특별시,성북구,439754.0,1815.0
서울특별시,성동구,305785.0,2844.6
서울특별시,서초구,432336.0,4672.8
서울특별시,송파구,679824.0,3590.4
서울특별시,마포구,374824.0,2725.8
서울특별시,동작구,399118.0,2435.4
서울특별시,동대문구,346312.0,1937.1
서울특별시,강남구,542108.0,4917.0
서울특별시,도봉구,337346.0,1379.4
서울특별시,노원구,539884.0,1633.5
서울특별시,금천구,234173.0,1452.0
서울특별시,구로구,405516.0,1636.8
서울특별시,광진구,354344.0,2577.3
서울특별시,관악구,502251.0,1749.0
서울특별시,서대문구,311586.0,2032.8
서울특별시,강동구,424727.0,2620.2
서울특별시,강북구,316604.0,1498.1999999999994
세종특별자치시,세종특별자치시,324417.0, 1177
울산광역시,울주군,222191.0,739.1999999999997
인천광역시,강화군,68992.0,501.6
인천광역시,부평구,520171.0,957.0
인천광역시,남동구,536255.0,887.6999999999997
인천광역시,계양구,308685.0,818.4
인천광역시,연수구,352172.0,1118.7
전라남도,영광군,54040.0,270.6
전라남도,해남군,71214.0,429.0
전라남도,여수시,282946.0,643.5
전라남도,화순군,63499.0,422.4
전라남도,보성군,42262.0,365
전라남도,고흥군,65570.0,318
전라남도,광양시,152104.0,376.2
전라남도,구례군,26474.0,483
전라남도,순천시,280361.0,481.8
전라남도,완도군,51213.0,563
전라남도,나주시,114815.0,468.6
전라남도,목포시,230930.0,495.0
전라남도,무안군,81808.0,686.4
전라북도,고창군,56407.0,422.4
전라북도,군산시,271781.0,429.0
전라북도,정읍시,111535.0,468.6
전라북도,김제시,84734.0,359.7
전라북도,임실군,28606.0,422
전라북도,익산시,291001.0,475.2
전라북도,완주군,93382.0,415.8
전라북도,부안군,54030.0,389.4
전라북도,남원시,82095.0,435.6
전라북도,전주시,653694.0,577.5
제주특별자치도,서귀포시,181505.0,1029
제주특별자치도,제주시,487143.0,1143
충청남도,홍성군,101037.0,580.8
충청남도,태안군,63062.0,432.3
충청남도,청양군,31642.0,369.6
충청남도,천안시,649107.0,669.9
충청남도,예산군,79791.0,260.7
충청남도,아산시,313537.0,570.9
충청남도,부여군,67524.0,402.6
충청남도,계룡시,43378.0,475.2
충청남도,공주시,107036.0,491.7
충청남도,서천군,53462.0,316.7999999999999
충청남도,서산시,174344.0,567.6
충청남도,논산시,120005.0,412.5
충청남도,당진시,167481.0,590.6999999999998
충청남도,보령시,101549.0,475.2
충청남도,금산군,52957.0,557.6999999999998
충청북도,괴산군,38133.0,567.6
충청북도,보은군,33448.0,264.0
충청북도,영동군,49179.0,323.4
충청북도,옥천군,51371.0,485.1
충청북도,제천시,135243.0,412.5
충청북도,증평군,37378.0,419.1
충청북도,진천군,79919.0,504.9
충청북도,청주시,838887.0,640.1999999999998
충청북도,충주시,210463.0,501.6
충청북도,음성군,95375.0,445.5
